;product;area;room;bath;garage;adress;price
0;Sala/Conjunto para Aluguel, 30m²;30 m²;-- Quarto;1 Banheiro;1 Vaga;Rua Joe Collaço, 341 - Córrego Grande, Florianópolis - SC;R$ 1.400 /mês
1;Casa com 3 Quartos para Aluguel, 230m²;30;3 Quartos;4 Banheiros;1 Vaga;Rua João Henrique Gonçalves, 313 - Canto dos Araçás, Florianópolis - SC;R$ 16.000 /mês
2;Ponto comercial/Loja/Box para Aluguel, 80m²;230 m²;-- Quarto;1 Banheiro;-- Vaga;Rua Deputado Paulo Preis, 78 - Jurerê, Florianópolis - SC;R$ 6.950 /mês
3;Apartamento com 3 Quartos para Aluguel, 300m²;230;3 Quartos;5 Banheiros;2 Vagas;Avenida Governador Irineu Bornhausen, 3690 - Beira Mar, Florianópolis - SC;R$ 9.950 /mês
4;Consultório para Aluguel, 350m²;80 m²;-- Quarto;5 Banheiros;1 Vaga;Rua Frei Caneca, 490 - Agronômica, Florianópolis - SC;R$ 100 /mês
5;Casa com 3 Quartos para Aluguel, 182m²;80;3 Quartos;2 Banheiros;2 Vagas;Servidão Gilberto Pereira, 945 - Campeche, Florianópolis - SC;R$ 3.300 /mês
6;Sala/Conjunto para Aluguel, 52m²;300 m²;-- Quarto;1 Banheiro;-- Vaga;Rua Trajano, 752 - Centro, Florianópolis - SC;R$ 1.400 /mês
7;Sala/Conjunto para Aluguel, 20m²;300;-- Quarto;2 Banheiros;5 Vagas;Rua Alba Dias Cunha, 244 - Trindade, Florianópolis - SC;R$ 1.770 /mês
8;Casa de condomínio com Quarto para Aluguel, 100m²;350 m²;1 Quarto;1 Banheiro;1 Vaga;Joao Paulo, Florianópolis - SC;R$ 600 /mês
9;Sala/Conjunto para Aluguel, 48m²;350;-- Quarto;1 Banheiro;1 Vaga;Rua Luiz Delfino, 50 - Centro, Florianópolis - SC;R$ 2.200 /mês
10;Sala/Conjunto para Aluguel, 45m²;182 m²;-- Quarto;1 Banheiro;1 Vaga;Rodovia José Carlos Daux, 5500 - Saco Grande, Florianópolis - SC;R$ 3.800 /mês
