;area;room;bath;garage;price;ext_area;property;zone
0;30;0;1;1;1400;30;commercial;midtown
1;30;3;4;1;16000;230;residential;east
2;230;0;1;0;6950;80;commercial;north
3;230;3;5;2;9950;300;residential;midtown
4;80;0;5;1;100;350;commercial;midtown
5;80;3;2;2;3300;182;residential;south
6;300;0;1;0;1400;52;commercial;midtown
7;300;0;2;5;1770;20;commercial;midtown
8;350;1;1;1;600;100;residential;midtown
9;350;0;1;1;2200;48;commercial;midtown
10;182;0;1;1;3800;45;commercial;midtown
11;182;1;1;1;1880;80;residential;midtown
12;52;1;1;1;3890;54;residential;midtown
13;52;1;2;1;3298;50;residential;midtown
14;20;1;1;0;1200;20;residential;midtown
15;20;0;1;0;1800;70;commercial;midtown
16;100;3;4;3;8800;350;residential;midtown
17;100;0;3;6;6500;700;commercial;continental
18;48;0;1;0;999;8;commercial;midtown
19;48;4;3;3;45000;100;residential;north
20;45;3;2;3;21000;195;residential;north
21;45;4;5;3;23000;600;residential;north
22;80;3;2;1;2650;90;residential;midtown
23;80;1;1;0;2800;50;residential;midtown
24;54;3;4;2;5014;100;residential;continental
25;54;3;1;2;2354;78;residential;continental
26;50;2;2;2;6600;100;residential;north
27;50;1;1;1;1250;44;residential;continental
28;20;2;3;2;4200;130;residential;midtown
29;20;4;4;4;36000;215;residential;north
30;70;3;2;1;6200;147;residential;midtown
31;70;3;2;1;2500;72;residential;south
32;350;5;5;2;114000;180;residential;north
33;350;3;2;0;3500;80;residential;south
34;700;2;1;1;12000;70;residential;north
35;700;2;2;1;22500;75;residential;north
36;100;2;2;2;6600;100;residential;north
37;100;2;1;1;1600;78;residential;midtown
38;78;1;1;0;990;20;residential;midtown
39;78;2;2;1;1700;80;residential;north
40;20;3;3;1;2200;114;residential;midtown
41;20;1;1;1;11400;48;residential;north
42;80;3;3;2;10000;166;residential;north
43;80;3;2;2;25500;120;residential;north
44;114;1;1;1;1850;45;residential;midtown
45;114;3;3;2;3700;91;residential;midtown
46;48;3;2;1;2950;88;residential;midtown
47;48;2;1;2;2800;70;residential;south
48;166;4;3;2;9500;266;residential;north
49;166;1;1;1;10500;48;residential;north
50;120;1;1;1;2500;30;residential;midtown
51;120;2;1;0;1700;83;residential;midtown
